,label,original,hypothesis,modified
1573,neutral,a man and a woman repairing a bicycle tire.,the people repair a bike tire that has gone flat.,the multitude repair a bike tire that has move flat.
1574,entailment,a man and a woman repairing a bicycle tire.,there is a bike that needs repair.,there is a bike that needs reparation.
1575,contradiction,there is a man and woman working on a bicycle tire.,the birds are eating worms,the wench are eating worms
1576,neutral,there is a man and woman working on a bicycle tire.,the couple is fixing their favorite bike,the couple is fixing their cost favorite bike
1577,entailment,there is a man and woman working on a bicycle tire.,the man and lady are fixing the bike tire,the man and lady are posit the bike tire
1578,entailment,two people outside examining a bicycle tire.,there are people looking at a bicycle tire.,there are people looking at a bicycle outwear.
1579,contradiction,an artist creating a pottery while wearing an apron.,an artist is sleeping.,an artist sleeping.
1580,entailment,a man is standing up and spinning a piece of pottery on his pottery wheel.,the man is making a piece of pottery.,the man is form a piece of pottery.
1581,neutral,a man is standing up and spinning a piece of pottery on his pottery wheel.,the man is a professional artist.,the man is pro a professional artist.
1582,contradiction,a man is standing up and spinning a piece of pottery on his pottery wheel.,the man is using his computer.,the man is his computer.
1583,entailment,an artist creating a pottery while wearing an apron.,a human has clothes on.,has human a clothes on.
1584,contradiction,an aproned clay-worker throws a pot and forms it on a potter's wheel.,a man is painting a picture.,a picture man is painting a picture.
1585,neutral,an aproned clay-worker throws a pot and forms it on a potter's wheel.,a person is creating pottery on an outdated pottery wheel.,a person on creating pottery is an outdated pottery wheel.
1586,entailment,an aproned clay-worker throws a pot and forms it on a potter's wheel.,a person is creating pottery.,a adenine person is creating pottery.
1587,entailment,the skilled potter carefully molds and shapes the large clay bowl while it spins on the pedestal.,a potters wheel spins while the potter works his craft.,a potters spins while the potter his craft.
1588,contradiction,the skilled potter carefully molds and shapes the large clay bowl while it spins on the pedestal.,a team of explosives experts plot to destroy an old building.,a team of explosive experts patch to destroy an old building.
1589,neutral,the skilled potter carefully molds and shapes the large clay bowl while it spins on the pedestal.,when the bowl is spun it will transfer to the kiln.,when the bowl is spun it will transfer to.
1590,neutral,a pottery maker shaping a new pot in his workshop.,a potter is making his finest pot yet.,a potter is making his pot yet.
1591,contradiction,a pottery maker shaping a new pot in his workshop.,a small girl prepares mexican food for a party.,a small girl fille prepares mexican food for a party.
1592,entailment,a pottery maker shaping a new pot in his workshop.,a potter is shaping a pot.,a is potter shaping a pot.
1593,neutral,an artist creating a pottery while wearing an apron.,an artist is making a gift for his best friend.,an artist is making a gift friend his best for.
1594,contradiction,a man is on stage with a microphone.,a man is getting ready for bed.,a man is getting ready for.
1595,neutral,a man is on stage with a microphone.,a man is waiting to prepare his speech.,a man is waiting to cook his speech.
1596,entailment,a man wearing a white and green flannel shirt points to himself while holding a microphone.,a man wearing flannel holds a microphone and points at himself,a man wearing flannel grasp a microphone and luff at himself
1597,contradiction,a man wearing a white and green flannel shirt points to himself while holding a microphone.,a woman sings opera beautifully,a woman opera beautifully
1598,neutral,a man wearing a white and green flannel shirt points to himself while holding a microphone.,a man in flannel sings karaoke and motions to himself,a man in flannel sings karaoke to motions and himself
1599,entailment,a caucasian male in a green and white plaid shirt holding a microphone.,a male is holding a microphone,male is holding a microphone
1600,neutral,a caucasian male in a green and white plaid shirt holding a microphone.,a male is about to perform a song,a male is about to perform a angstrom song
1601,contradiction,a caucasian male in a green and white plaid shirt holding a microphone.,a male is laying at the beach alone,a male adenine is laying at the beach alone
1602,entailment,"a man in a plaid is standing on a stage holding a microphone, in front of a crowd.",a man is on stage in front of a crowd.,a man is on stage in breast of a gang.
1603,neutral,"a man in a plaid is standing on a stage holding a microphone, in front of a crowd.",a man is singing for a crowd.,a man is singing a crowd.
1604,contradiction,"a man in a plaid is standing on a stage holding a microphone, in front of a crowd.",the man is standing in the shadows.,the man is bear in the shadows.
1605,contradiction,a man standing with a microphone under lights in front of a crowd.,women are knitting.,women knitting.
1606,neutral,a man standing with a microphone under lights in front of a crowd.,a man is waiting to perform.,man a is waiting to perform.
