,label,original,hypothesis,modified
3206,contradiction,a brown and white dog has is playing with a white ball on the grass.,a girl is on her computer.,a girl is on her computer.
3207,entailment,a brown and white dog has is playing with a white ball on the grass.,a dog is playing with a ball.,a dog is playing with a ball.
3208,contradiction,a orange dog playing with a white ball on green grass.,a black cat playing with a white ball of yarn in the living room.,a black cat playing with a white ball of yarn in the living room.
3209,entailment,a orange dog playing with a white ball on green grass.,an orange dog plays in the grass.,an orange dog plays in the grass.
3210,neutral,a brown and white dog has is playing with a white ball on the grass.,a dog is playing with a white ping pong ball.,a dog is playing with a white ping pong ball.
3211,neutral,a orange dog playing with a white ball on green grass.,an orange dog playing with a white ball on green grass as his owner watches.,an orange dog playing with a white ball on green grass as his owner watches.
3212,neutral,a collie plays with a white ball in a field of green grass.,the collie is old,the collie is old
3213,neutral,a small brown dog paws at a white ball,a small brown dog paws at a white tennis ball.,a small brown dog paws at a white tennis ball.
3214,contradiction,a collie plays with a white ball in a field of green grass.,the ball is green,the ball is green
3215,contradiction,a small brown dog paws at a white ball,a large cat batting a white ball.,a large cat batting a white ball.
3216,contradiction,a brown and white dog chasing a ball on some grass.,a dog waits to retrieve a stick,a dog waits to retrieve a stick
3217,neutral,a little boy in red skateboarding.,the little boy is skateboarding with his friends.,the little boy is skateboarding with his friends.
3218,contradiction,little boy with red shirt and gray shorts does a trick on a skateboard.,the boy's shorts are blue.,the boy's shorts are blue.
3219,entailment,little boy with red shirt and gray shorts does a trick on a skateboard.,a boy is riding a skateboard.,a boy is riding a skateboard.
3220,neutral,little boy with red shirt and gray shorts does a trick on a skateboard.,the boy is at a skate park.,the boy is at a skate park.
3221,contradiction,a young boy skateboards on a sidewalk at a skate park.,a boy plays at a swimming pool.,a boy plays at a swimming pool.
3222,neutral,a boy rides his skateboard at the park.,a sad boy rides his skateboard at the park.,a sad boy rides his skateboard at the park.
3223,entailment,a boy rides his skateboard at the park.,a child rides his skateboard at the park.,a child rides his skateboard at the park.
3224,contradiction,a boy rides his skateboard at the park.,a girl rides his skateboard at the park.,a girl rides his skateboard at the park.
3225,contradiction,a little boy in red skateboarding.,the little boy is wearing blue.,the little boy is wearing blue.
3226,entailment,a little boy in red skateboarding.,the little boy is wearing red.,the little boy is wearing red.
3227,entailment,a young boy is skating through a skating park.,a young skater skates.,a young skater skates.
3228,entailment,a young boy skateboards on a sidewalk at a skate park.,a boy ride a skateboard,a boy ride a skateboard
3229,neutral,a young boy skateboards on a sidewalk at a skate park.,a boy is doing skateboard tricks,a boy is doing skateboard tricks
3230,contradiction,a young boy is skating through a skating park.,a young boy is sitting and watching skaters in the skate park.,a young boy is sitting and watching skaters in the skate park.
3231,neutral,a young boy is skating through a skating park.,a boy enjoys skating in the skate park.,a boy enjoys skating in the skate park.
3232,neutral,"an older man breaks open nuts, while his grandchildren watch.",a man opening peanuts.,a man opening peanuts.
3233,neutral,a man working with three children around him.,a father is monitoring his three children while he's working because he couldn't find a babysitter.,a father is monitoring his one children while he's working because he couldn't find a babysitter.
3234,entailment,an older man in a black shirt is sitting by three young children outside.,the men are wearing shirts,the men are wearing shirts
3235,contradiction,a man working with three children around him.,a man is working in a building no children are allowed.,a man is working in a building no children are allowed.
3236,contradiction,a man sitting at a table working on a wood carving with three kids around him.,a man is using a table saw.,a man is using a table saw.
3237,entailment,a man sitting at a table working on a wood carving with three kids around him.,a man is showing children how to carve wood.,a man is showing children how to carve wood.
3238,entailment,man is crashing some nuts with a hammer.,the man is cracking nuts,the man is cracking nuts
